일자,구분1,발전소코드,발전소용량(KW),0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,합계
2023-03-01,실측,G1068,997.12,0.0,0.0,0,0,0,0.0,0.0,0.79,77.54,144.94,46.66,29.16,35.86,25.2,47.81,45.86,404.06,369.94,107.5,0.0,0,0,0,0,1335.31
2023-03-01,실측,G1064,997.92,581.42,445.47,31.1,0,0,0.0,0.0,3.62,37.6,67.25,20.97,28.93,28.2,33.27,20.97,22.42,159.1,61.47,2.89,0.0,0,0,545.26,577.8,2667.73
2023-03-01,실측,G1058,998.4,0.0,0.0,0,0,0,0.0,0.0,2.89,36.16,109.2,253.11,213.33,479.45,295.77,553.94,416.54,183.68,49.9,5.79,0.0,0,0,0,0,2599.75
2023-03-01,실측,G1057,998.4,0.0,0.0,0,0,0,0.0,0.0,2.89,37.6,112.81,256.0,220.56,507.66,326.87,598.78,447.64,195.98,52.07,5.79,0.0,0,0,0,0,2764.63
2023-03-01,실측,G1056,998.4,0.0,0.0,0,0,0,0.0,0.0,3.62,37.6,113.54,259.61,220.56,505.49,326.14,598.05,444.74,195.25,52.07,6.51,0.0,0,0,0,0,2763.19
2023-03-01,실측,G1052,999.0,0.0,0.0,0,0,0,0.0,0.0,7.2,82.8,240.48,264.96,131.04,131.76,48.24,147.6,160.56,143.28,43.92,2.16,0.0,0,0,0,0,1404.0
2023-03-01,실측,G1050,999.0,0.0,0.0,0,0,0,0.0,0.0,2.88,66.24,162.72,387.36,398.88,390.96,268.56,231.12,194.4,215.28,126.72,5.04,0.0,0,0,0,0,2450.16
2023-03-01,실측,S5048,999.0,0.0,0.0,0,0,0,0.0,0.0,10.08,43.92,73.44,148.32,346.32,364.32,250.56,218.16,138.24,222.48,115.92,2.88,0.0,0,0,0,0,1934.64
2023-03-01,실측,S5049,999.0,0.0,0.0,0,0,0,0.0,0.0,8.64,41.04,70.56,146.88,331.92,350.64,245.52,212.4,130.32,221.04,112.32,2.16,0.0,0,0,0,0,1873.44
2023-03-01,실측,G1033,999.08,0.0,0.0,0,0,0,0.0,0.0,15.84,105.84,206.64,41.04,43.2,41.04,41.04,40.32,54.0,333.36,105.84,457.92,456.48,321.12,0,0,0,2263.68
2023-03-01,실측,S5012,999.99,0.0,0.0,0,0,0,0.0,0.0,9.36,90.0,213.12,221.04,244.8,220.32,381.6,287.28,383.04,320.4,120.96,4.32,0.0,0,0,0,0,2496.24
2023-03-01,실측,S5035,1200.0,80.0,132.0,94,116,130,155.5,124.5,115.0,128.2,384.8,483.08,447.72,543.6,455.6,445.56,342.24,408.6,160.6,12.16,65.0,82,68,139,141,5254.16
2023-03-01,실측,S5031,1301.0,0.0,0.0,0,0,0,0.0,0.0,12.39,113.91,284.4,333.88,387.56,1449.81,1539.96,1252.22,1713.31,1125.1,365.38,14.02,0.0,0,0,0,0,8591.95
2023-03-01,실측,S5037,2219.0,0.0,0.0,0,0,0,0.0,0.0,2.4,14.4,176.16,155.28,149.52,149.04,137.52,132.96,138.48,326.4,1345.68,1385.28,235.68,0,0,0,0,4348.8
2023-03-01,실측,S5034,2900.0,0.0,0.0,0,0,0,0.0,0.0,69.67,370.37,888.86,1282.91,1711.54,1284.36,1338.24,1444.98,1435.98,1981.55,2192.04,1618.82,1321.69,0,0,0,0,16941.02
2023-03-01,실측,S5045,2995.2,24.0,0.0,0,0,0,0.0,0.0,45.6,134.4,496.8,199.2,177.6,175.2,127.2,84.0,96.0,496.8,132.0,0.0,0.0,1425.6,1377.6,175.2,0,5167.2
2023-03-01,실측,S5036,2997.0,0.0,0.0,0,0,0,0.0,0.0,2.41,226.59,544.78,139.81,125.35,134.99,139.81,130.17,421.84,665.31,2005.56,1730.76,1713.88,1270.35,0,0,0,9251.6
2023-03-01,실측,S5044,2997.0,0.0,0.0,0,0,0,0.0,0.0,2.41,224.18,544.78,139.81,130.17,137.4,144.63,132.58,106.06,665.31,1651.21,1713.88,1713.88,1689.78,248.28,0,0,9244.37
2023-03-02,실측,B1739,98.825,0.0,0.0,0,0,0,0.0,0.0,2.68,24.04,51.72,14.24,6.6,6.6,72.28,81.96,66.76,46.0,14.52,44.08,50.16,50.12,50.16,16.56,0,598.48
2023-03-02,실측,B1737,99.125,0.0,0.0,0,0,0,0.0,0.0,4.8,32.8,58.76,18.8,5.56,5.56,85.28,80.32,64.8,42.88,12.28,40.12,49.92,49.96,49.92,19.8,0,621.56
2023-03-02,실측,B1742,99.125,0.0,0.0,0,0,0,0.0,0.0,4.56,33.4,59.36,16.4,7.8,7.72,72.92,81.88,66.4,43.84,13.8,43.36,49.76,49.72,49.68,32.88,0,633.48
2023-03-02,실측,B1740,99.13,0.0,0.0,0,0,0,0.0,0.0,3.84,31.88,59.56,28.24,7.16,7.12,48.56,81.0,65.52,43.2,12.84,34.56,50.28,50.24,50.28,50.24,1.16,625.68
2023-03-02,실측,B1738,99.13,0.0,0.0,0,0,0,0.0,0.0,3.28,29.32,56.92,17.6,5.04,5.0,84.36,81.52,66.56,44.92,13.92,40.8,50.2,50.2,50.16,21.28,0,621.08
2023-03-02,실측,B1741,99.13,0.0,0.0,0,0,0,0.0,0.0,3.2,31.32,58.24,34.04,7.68,7.64,48.6,82.24,67.04,45.04,15.12,30.08,49.88,49.8,49.84,49.8,0.64,630.2
2023-03-02,실측,B1788,99.645,0.0,0.0,0,0,0,0.0,0.0,3.28,28.56,58.8,22.16,6.4,6.36,63.24,81.56,66.0,43.84,10.24,39.12,50.8,50.76,50.56,40.48,0,622.16
2023-03-02,실측,B1786,99.645,0.0,0.0,0,0,0,0.0,0.0,4.8,33.08,58.76,18.32,4.56,4.48,64.64,79.96,64.84,42.96,11.8,40.44,50.64,50.56,50.36,38.56,0,618.76
2023-03-02,실측,B1787,99.645,0.0,0.0,0,0,0,0.0,0.0,4.12,31.56,58.48,75.52,87.6,91.88,89.04,79.48,64.44,42.84,10.96,37.68,50.2,50.12,50.12,46.56,0,870.6
2023-03-02,실측,G1053,249.48,0.0,0.0,0,0,0,0.0,0.0,3.8,42.1,107.4,24.7,0.0,0.0,118.8,172.4,140.3,93.0,36.5,133.8,161.1,161.1,61.4,0,0,1256.4
